,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
952,Better Man,Little Big Town,Country,Better Man,0.126,0.524,260933,0.76,1.1e-05,5,0.239,-4.2139999999999995,1,0.0361,143.991,4,0.43700000000000006,Yearning,0jMikeoKkkSOby4ofddqYs,Yearning,0.0,-1.0
953,Every Little Thing,Carly Pearce,Country,Every Little Thing,0.44,0.637,180053,0.444,5.46e-06,0,0.0954,-6.355,1,0.0417,139.775,4,0.319,Empowering,2wxfu24GQpEZQrjDJm5Ac1,Empowering,0.0,1.0
954,LANCO - EP,LANCO,Country,Greatest Love Story,0.38,0.665,222400,0.621,0.0,10,0.11900000000000001,-8.571,1,0.0524,147.975,4,0.632,Empowering,0kdiUZDcLIFw0Buo9r0Q4z,Empowering,0.0,1.0
955,Boy With A Guitar,Jason Blaine,Country,Born To Love,0.0235,0.285,154827,0.94,0.0,3,0.126,-4.548,1,0.20800000000000002,161.612,5,0.17300000000000001,Yearning,2VeezVQdzooBe9yvjCaYWu,Yearning,0.0,-1.0
956,Both Sides Of The Bar,Jojo Mason,Country,Edge Of The Night,0.0009480000000000001,0.5820000000000001,178190,0.938,0.0,4,0.198,-3.6460000000000004,1,0.0522,119.98899999999999,4,0.48100000000000004,,4VDbajT3R5u0lXiCY1Ishu,,,
957,Homemade,Cold Creek County,Country,This Town Is You,0.10099999999999999,0.447,177274,0.8740000000000001,0.0,0,0.145,-3.7569999999999997,1,0.0365,165.938,4,0.63,,1546HxzjRe5VvxHB63veqp,,,
958,Getaway,Hunter Brothers,Country,Born And Raised,0.0864,0.525,181933,0.9059999999999999,0.0,11,0.23800000000000002,-3.1910000000000003,0,0.0748,114.993,4,0.47100000000000003,Empowering,68wVfGHlUtL6AWrJWkRKOz,Empowering,0.0,1.0
959,Game On,James Barker Band,Country,It's Working,0.0597,0.679,193320,0.898,1.39e-06,7,0.0847,-5.058,1,0.0378,117.99600000000001,4,0.685,Yearning,7g0FITg4Uhq4A7PLzcOQPg,Yearning,0.0,-1.0
960,Dear Life,High Valley,Country,Dear Life,0.0179,0.5539999999999999,195000,0.88,0.0,2,0.0862,-6.3660000000000005,1,0.0425,127.02600000000001,4,0.44799999999999995,Upbeat,2J1DQUnFdlKcUYJbIO8fID,Upbeat,0.0,2.0
961,Paradise Found,Shawn Austin,Country,Paradise Found,0.0679,0.5820000000000001,195927,0.722,0.0,10,0.16,-6.478,1,0.0301,155.999,4,0.631,Yearning,12vwPWAtcvBRoJMoBFFWUI,Yearning,0.0,-1.0
962,Hell If I Know,Chase Bryant,Country,Hell If I Know,0.0451,0.618,168333,0.831,0.0,1,0.0692,-5.99,1,0.0434,100.014,4,0.627,Yearning,2AgtfBkoLmayuL6ScdqC7Y,Yearning,0.0,-1.0
963,Beautiful Freakshow,Dean Brody,Country,8th Day,0.0453,0.664,182107,0.872,1.9399999999999997e-05,4,0.35200000000000004,-4.5969999999999995,1,0.0651,113.021,4,0.7509999999999999,Yearning,5zJ5Tp820plLvRLcxkUyN2,Yearning,0.0,-1.0
964,Neon Smoke,Gord Bamford,Country,Neon Smoke,0.165,0.586,207283,0.79,0.0,0,0.132,-5.438,0,0.0283,100.007,4,0.35,Yearning,7ahNtJpQe07nH9bkd45tiI,Yearning,0.0,-1.0
965,Dear Life,High Valley,Country,Young Forever,0.0004969999999999999,0.565,220240,0.898,0.0,9,0.20800000000000002,-4.6930000000000005,1,0.0372,146.025,4,0.731,Empowering,5hvrMHJMadUSbfyV8F27Dr,Empowering,0.0,1.0
966,Self + Medicine,Sykamore,Country,We Were Alright,0.066,0.622,247711,0.765,0.0,3,0.151,-5.744,1,0.0261,120.016,4,0.619,Yearning,4vOlu0CyXyJ0UDKgrmJxVn,Yearning,0.0,-1.0
967,Morgan Wallen,Morgan Wallen,Country,Not Good At Not,0.222,0.562,181827,0.789,0.0,11,0.111,-3.827,1,0.0311,144.002,4,0.613,,5arNKTmFCdZaymPrdkX0wO,,,
968,We Were That Song,Brett Kissel,Country,Anthem,0.19,0.66,241547,0.7979999999999999,0.0,2,0.11599999999999999,-4.724,0,0.0312,116.00200000000001,4,0.536,Yearning,03t0Me6yMq3uvRT9Q5xbDC,Yearning,0.0,-1.0
969,Chris Buck Band,Chris Buck Band,Country,That's When You Know,0.0692,0.523,207399,0.809,0.0,3,0.111,-7.257000000000001,1,0.044000000000000004,147.881,4,0.6629999999999999,Empowering,2gvYqSUrl405FQRdsZUQLo,Empowering,0.0,1.0
970,Down Home Sessions IV,Cole Swindell,Country,Get Me Some of That,0.272,0.585,191640,0.753,0.0,6,0.19699999999999998,-5.871,1,0.0626,171.987,4,0.892,Romantic,4Umsx2T1LJHsCXRQAgmSdH,Romantic,-1.0,1.0
971,Parallel Line,Keith Urban,Country,Parallel Line,0.204,0.617,253084,0.48200000000000004,0.0,0,0.21600000000000003,-5.121,1,0.0322,81.73,4,0.508,Empowering,6W4DY8jGf8POlFsMQhR2E6,Empowering,0.0,1.0
972,Hallelujah Nights,LANCO,Country,Born to Love You,0.13,0.659,230013,0.902,9.449999999999999e-05,7,0.0574,-6.192,1,0.0296,124.985,4,0.809,Yearning,77a5Eu7lC3tG0Sukt2O91U,Yearning,0.0,-1.0
973,Appetite For Destruction,Guns N' Roses,Rock,Paradise City,0.0214,0.27399999999999997,406307,0.9490000000000001,0.00778,11,0.218,-8.642000000000001,1,0.0896,100.346,4,0.49700000000000005,Rowdy,5Q41NLTmGbVPozwHKK7bk2,Rowdy,2.0,1.0
974,1984 (Remastered),Van Halen,Rock,Panama - 2015 Remastered Version,0.00124,0.527,210227,0.978,4.7499999999999996e-05,8,0.0744,-5.436,1,0.109,141.16899999999998,4,0.46299999999999997,Rowdy,05RgAMGypEvqhNs5hPCbMS,Rowdy,2.0,1.0
975,Love At First Sting,Scorpions,Rock,Rock You Like A Hurricane,0.00853,0.48200000000000004,252493,0.601,0.00018700000000000002,7,0.249,-12.845999999999998,1,0.0486,125.619,4,0.774,Rowdy,0XIvZ82aDF7JiSi3ZE320u,Rowdy,2.0,1.0
976,Dr. Feelgood 20th Anniversary (Expanded Version),Mötley Crüe,Rock,Dr. Feelgood,0.000886,0.535,291307,0.9670000000000001,0.0204,2,0.233,-4.082,1,0.068,110.97,4,0.34700000000000003,Defiant,5X0bLSho0KTiSQYCI0IOcl,Defiant,2.0,-1.0
977,Hysteria (Super Deluxe),Def Leppard,Rock,Pour Some Sugar On Me - Remastered 2017,0.00224,0.529,267307,0.956,0.0,1,0.284,-4.891,0,0.0699,84.96600000000001,4,0.591,,0PdM2a6oIjqepoEfcJo0RO,,,
978,Whitesnake (30th Anniversary Remaster),Whitesnake,Rock,Still of the Night - 2017 Remastered Version,0.0058200000000000005,0.40299999999999997,399693,0.88,0.000508,0,0.319,-5.872000000000001,1,0.0532,100.45700000000001,4,0.235,,5PLPlz2rQlwMTFQqnQAPgu,,,
979,Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,Rock,Crazy Train - Remastered,0.361,0.45299999999999996,296200,0.9059999999999999,0.0005690000000000001,9,0.26,-4.001,1,0.115,137.575,4,0.473,Defiant,2b9lp5A6CqSzwOrBfAFhof,Defiant,2.0,-1.0
980,Slippery When Wet,Bon Jovi,Rock,You Give Love A Bad Name,0.0771,0.5589999999999999,223733,0.825,0.0,0,0.363,-10.725,0,0.0401,122.821,4,0.805,Urgent,3U7H63zKWLjOuFZJUmTowp,Urgent,1.0,-1.0
981,Winger,Winger,Rock,Seventeen,0.000895,0.5770000000000001,245267,0.6759999999999999,2.29e-06,8,0.0625,-11.931,1,0.0295,95.98,4,0.6759999999999999,Rowdy,2ZS0wDcdfrJPC86u5aJGo9,Rowdy,2.0,1.0
982,Night Songs,Cinderella,Rock,Nobody's Fool,0.0478,0.36700000000000005,286627,0.445,0.0028399999999999996,9,0.19899999999999998,-13.615,0,0.0286,67.197,4,0.149,Brooding,6LFoyjCI9eFZw3QmN46x2V,Brooding,1.0,-2.0
983,Holy Diver,Dio,Rock,Rainbow in the Dark,0.000692,0.512,256933,0.9470000000000001,0.114,9,0.0283,-5.659,0,0.0401,117.461,4,0.612,Rowdy,2PpNgmrS9mAyrkRAwn6YPq,Rowdy,2.0,1.0
984,Invasion Of Your Privacy,Ratt,Rock,Lay It Down,0.00040199999999999996,0.442,205560,0.759,0.0081,10,0.174,-13.475,1,0.0354,198.11700000000002,4,0.27899999999999997,Rowdy,3D5ORNm9spaTcdRx50ksHx,Rowdy,2.0,1.0
985,New Jersey (Deluxe Edition),Bon Jovi,Rock,Bad Medicine,0.0475,0.551,316707,0.971,0.0,9,0.0922,-3.793,1,0.0335,118.662,4,0.81,Rowdy,72hcFp4tYkd3dbNA9dZ3Pv,Rowdy,2.0,1.0
986,Metal Health,Quiet Riot,Rock,Metal Health (Bang Your Head),0.0434,0.494,316867,0.9329999999999999,0.00108,2,0.228,-5.977,1,0.0808,121.20100000000001,4,0.507,Rowdy,28clONjZmul6FjfO6tZQDE,Rowdy,2.0,1.0
987,The Final Countdown (Expanded Edition),Europe,Rock,The Final Countdown,0.0628,0.536,310333,0.8440000000000001,0.00084,6,0.0608,-6.917999999999999,0,0.057999999999999996,117.652,4,0.185,,3MrRksHupTVEQ7YbA0FsZK,,,
988,Theatre of Pain,Mötley Crüe,Rock,Home Sweet Home,0.0999,0.40299999999999997,240933,0.777,3.28e-06,5,0.124,-6.416,1,0.0354,76.329,4,0.149,Empowering,4zXvB4MoQD8onk0NCZbeHG,Empowering,0.0,1.0
989,Blackout,Scorpions,Rock,No One Like You,0.0203,0.505,237467,0.631,2.2100000000000002e-05,9,0.141,-10.433,0,0.038,118.178,4,0.835,Rowdy,26fZwf1ImE4aUJ4XaqOkUg,Rowdy,2.0,1.0
990,Lita,Lita Ford,Rock,Close My Eyes Forever,0.31,0.47600000000000003,283133,0.331,2.82e-06,5,0.172,-14.884,1,0.0305,130.57399999999998,4,0.24,Brooding,43thLwzSasUUZEYjYPeJh3,Brooding,1.0,-2.0
991,Appetite For Destruction,Guns N' Roses,Rock,Welcome To The Jungle,0.0326,0.445,273600,0.955,0.284,8,0.317,-8.027000000000001,1,0.0856,123.34299999999999,4,0.336,Rowdy,5NIPsWpDjJTFBoPxCUUeXp,Rowdy,2.0,1.0
992,Open Up And Say...Ahh! - 20th Anniversary Edition,Poison,Rock,Every Rose Has Its Thorn - 2003 - Remaster,0.16,0.5329999999999999,260173,0.637,1.12e-05,6,0.369,-5.571000000000001,1,0.0323,140.167,4,0.292,Empowering,43GS3mtezoIFiuIZCLLiDY,Empowering,0.0,1.0
993,Whitesnake (30th Anniversary Remaster),Whitesnake,Rock,Is This Love - 2017 Remastered Version,0.109,0.33299999999999996,284600,0.79,0.0,0,0.115,-6.8020000000000005,1,0.0386,180.356,4,0.534,,3qwnfEm2N8lvD9BaJvOfaW,,,
994,Lick It Up,KISS,Rock,Lick It Up,0.187,0.6859999999999999,236640,0.7809999999999999,1.9e-05,2,0.332,-5.906000000000001,1,0.0523,120.191,4,0.64,Rowdy,3cXiUuiGpFmZ8OdAWKk8Ck,Rowdy,2.0,1.0
995,Twice Shy,Great White,Rock,Once Bitten Twice Shy,0.027999999999999997,0.723,322933,0.541,0.00339,0,0.133,-14.020999999999999,1,0.0303,131.675,4,0.607,Yearning,7pkWZL0kA26s754CwyK0SH,Yearning,0.0,-1.0
996,Slippery When Wet,Bon Jovi,Rock,Wanted Dead Or Alive,0.13699999999999998,0.257,308667,0.8029999999999999,0.0156,7,0.297,-3.886,1,0.0411,150.81799999999998,4,0.294,Upbeat,2fY6tqgrlrg1ky9fgs0t5u,Upbeat,0.0,2.0
997,Long Cold Winter,Cinderella,Rock,Don't Know What You Got (Till It's Gone),0.22899999999999998,0.36,354640,0.527,0.000792,9,0.0536,-9.883,1,0.0289,132.639,4,0.247,Empowering,3vPrFUtWpKT9oNW94NDDEW,Empowering,0.0,1.0
998,Invasion Of Your Privacy,Ratt,Rock,You're In Love,0.0038399999999999997,0.5670000000000001,194107,0.867,0.08800000000000001,7,0.11199999999999999,-11.540999999999999,1,0.0484,146.00799999999998,4,0.535,Rowdy,3D3lmTEhuWaunO1yxpYPD8,Rowdy,2.0,1.0
999,"Girls, Girls, Girls",Mötley Crüe,Rock,"Girls, Girls, Girls",0.0296,0.6,270427,0.9309999999999999,7.099999999999999e-05,7,0.392,-4.647,1,0.0734,140.123,4,0.542,Rowdy,5xLyTbCFONUGUuG0LtUxjn,Rowdy,2.0,1.0
1000,1987 (2007 Remaster),Whitesnake,Rock,Here I Go Again 87 - 2007 Remastered Version,0.207,0.39,270160,0.898,6.64e-05,7,0.217,-4.0889999999999995,1,0.045,90.70299999999999,4,0.204,Empowering,3rdxvEfBp86WNcRDLaFEk9,Empowering,0.0,1.0
1001,Bon Jovi Greatest Hits,Bon Jovi,Rock,Livin' On A Prayer,0.0665,0.52,250627,0.887,0.00017900000000000001,0,0.18600000000000003,-3.2960000000000003,1,0.0349,122.52799999999999,4,0.7929999999999999,Defiant,7qQnBfwXrw2tZNFG4Uf57N,Defiant,2.0,-1.0
1002,Appetite For Destruction,Guns N' Roses,Rock,Sweet Child O' Mine,0.141,0.449,356400,0.9009999999999999,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696,Empowering,4MhTFsyqIJnjsOweVcU8ug,Empowering,0.0,1.0
1003,Quiet Riot - Greatest Hits,Quiet Riot,Rock,Cum on Feel the Noize,0.000183,0.441,287400,0.9079999999999999,0.00328,11,0.0612,-4.627,0,0.115,145.439,4,0.632,,6FBmHx1FuaSnTnnnaThgbF,,,
1004,1984,Van Halen,Rock,Jump,0.0745,0.547,239560,0.8220000000000001,0.00943,0,0.0645,-7.2010000000000005,1,0.0292,130.138,4,0.774,Excited,2PfBSkCKZDXMsJogMT0wML,Excited,2.0,2.0
1005,Playlist: The Very Best Of Europe,Europe,Rock,Rock the Night,0.036000000000000004,0.562,247493,0.965,0.0,4,0.326,-2.7889999999999997,0,0.0613,105.305,4,0.39,Defiant,4NffXDmI70vw19P5Efoe0T,Defiant,2.0,-1.0
1006,Double Dose: Ultimate Hits,Poison,Rock,Talk Dirty to Me - 2006 - Remaster,0.008879999999999999,0.49,224960,0.951,0.00126,11,0.376,-3.888,1,0.0966,158.075,4,0.628,,473dVAB97y06dfl6OBb1uj,,,
1007,We Are The '80s,Loverboy,Rock,Working for the Weekend,0.027000000000000003,0.526,220707,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.7929999999999999,Rowdy,0sgDEFq9oeC8ueOK0mR5IA,Rowdy,2.0,1.0
1008,Holy Diver,Dio,Rock,Holy Diver,0.0642,0.47600000000000003,353787,0.9009999999999999,0.158,8,0.0557,-6.751,1,0.0975,91.955,4,0.109,Brooding,57fqmDaokbxZ3TaB0jp39q,Brooding,1.0,-2.0
1009,The Greatest Hits,Mötley Crüe,Rock,Kickstart My Heart,0.0011099999999999999,0.474,284027,0.977,0.00298,7,0.201,-3.839,0,0.17600000000000002,89.494,4,0.23600000000000002,Defiant,0mDpR6DpKc2DyiGtH0NcX8,Defiant,2.0,-1.0
1010,Rhino Hi-Five: Ratt,Ratt,Rock,Round and Round,0.0135,0.616,266627,0.965,0.000174,11,0.11900000000000001,-4.4639999999999995,1,0.0613,126.535,4,0.405,Rowdy,0SFS1LxNP5wgnoDA7nGKQu,Rowdy,2.0,1.0
1011,Rhino Hi-Five: Twisted Sister,Twisted Sister,Rock,We're Not Gonna Take It,0.0127,0.502,219667,0.924,0.0,4,0.162,-6.2989999999999995,1,0.0503,149.186,4,0.922,,5RHG4SQ6iJ1qQJmt3EFJCX,,,
1012,Cherry Pie,Warrant,Rock,Cherry Pie,0.0372,0.47200000000000003,201027,0.946,0.0,2,0.35200000000000004,-4.591,1,0.145,177.489,4,0.486,Rowdy,7LygtNjQ65PSdzVjUnHXQb,Rowdy,2.0,1.0
1013,Best Of '81 To '85,Y&T,Rock,Summertime Girls - Studio Version,0.0025,0.423,209067,0.696,2.44e-06,4,0.221,-11.589,1,0.0335,129.02,4,0.7859999999999999,Melancholy,2kR3B09M6KeJnchOkxwszt,Melancholy,-2.0,-1.0
1014,Best Of,Skid Row,Rock,18 And Life,0.000384,0.457,231280,0.794,7.26e-05,1,0.131,-6.624,0,0.0298,90.439,4,0.354,,1HlGblweLq0eAwnb0NY1EQ,,,
1015,Animalize (Remastered Version),KISS,Rock,Heaven's On Fire,0.00536,0.679,201400,0.8590000000000001,5.18e-05,0,0.327,-5.945,1,0.0665,124.324,4,0.792,Rowdy,1brpdmqkx3kSxyqzqXfW7J,Rowdy,2.0,1.0
1016,Permanent Vacation (Remastered),Aerosmith,Rock,Dude (Looks Like A Lady),0.41700000000000004,0.537,265773,0.978,1.56e-05,4,0.0374,-2.9210000000000003,0,0.0442,126.34299999999999,4,0.9309999999999999,Rowdy,6gQUbFwwdYXlKdmqRoWKJe,Rowdy,2.0,1.0
1017,Long Cold Winter,Cinderella,Rock,Gypsy Road,0.009609999999999999,0.523,235733,0.88,0.000828,9,0.32899999999999996,-9.019,1,0.0402,132.42600000000002,4,0.5529999999999999,Rowdy,3W1iDAW7PVwlMC2zJIKF0k,Rowdy,2.0,1.0
1018,Tooth And Nail,Dokken,Rock,Alone Again,0.0194,0.298,262200,0.612,9.67e-05,3,0.0906,-9.002,0,0.0379,156.727,4,0.34299999999999997,Brooding,1j06ieEC2BOCM0fTmYhn2l,Brooding,1.0,-2.0
1019,Alice Cooper Classicks,Alice Cooper,Rock,Poison,0.0515,0.3,269600,0.894,0.000333,2,0.125,-7.7860000000000005,0,0.109,118.631,4,0.268,,1iQpStZpzBb5TOuTDKJKdj,,,
1020,Mr. Big,Mr. Big,Rock,Addicted To That Rush,0.0537,0.46,284973,0.9740000000000001,7.95e-06,2,0.32899999999999996,-5.095,1,0.156,112.684,4,0.444,Rowdy,4QPRua3G7RQraiYX2NwdH6,Rowdy,2.0,1.0
1021,'80s Hard Rock,XYZ,Rock,Inside Out,0.013000000000000001,0.426,228533,0.961,0.0259,8,0.0621,-4.365,1,0.07,171.41099999999997,4,0.616,,5CWWOxTehNz94b4Xs0xFYV,,,
1022,WASP,W.A.S.P.,Rock,I Wanna Be Somebody,0.00081,0.29600000000000004,223533,0.83,0.0,1,0.263,-7.051,0,0.0505,164.12400000000002,4,0.478,Aggressive,5F8WPtrurLmNE3tv6Sm14m,Aggressive,2.0,-2.0
1023,When The Children Cry - Greatest Hits,White Lion,Rock,Wait,0.00122,0.204,295427,0.794,0.0,2,0.14800000000000002,-7.586,1,0.0618,149.346,4,0.205,,2QfjV18pg4Ye7Vo4TsSobq,,,
1024,Diary Of A Madman,Ozzy Osbourne,Rock,Over The Mountain,4.95e-05,0.46299999999999997,271400,0.9259999999999999,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501,Rowdy,6QtDzKo8oVwnOx7Sg7jxUe,Rowdy,2.0,1.0
1025,Gary Moore - The Platinum Collection,Gary Moore,Rock,Wild Frontier - 2002 - Remaster,0.00434,0.479,255720,0.8220000000000001,4.76e-06,4,0.0843,-6.412000000000001,0,0.0444,130.035,4,0.562,Rowdy,1o0hcMxI6jYzQm6ApPde3L,Rowdy,2.0,1.0
1026,The Best Of The Michael Schenker Group ('80-'84),Michael Schenker Group,Rock,Armed And Ready - 2008 Remastered Version,0.0038799999999999998,0.33,248333,0.963,0.0071400000000000005,9,0.0793,-5.5089999999999995,1,0.106,171.59,4,0.7340000000000001,Defiant,6q5vdf6Mfkk0eETYzmgokj,Defiant,2.0,-1.0
1027,Difficult To Cure,Rainbow,Rock,I Surrender,0.159,0.498,241893,0.858,0.0,7,0.262,-5.2589999999999995,0,0.0661,132.718,4,0.778,Rowdy,0gGJO7JM51uAUu7EE2lxx6,Rowdy,2.0,1.0
1028,Vixen,Vixen,Rock,Edge Of A Broken Heart,0.0113,0.619,265333,0.7509999999999999,7.87e-05,7,0.12300000000000001,-11.568,0,0.0417,126.079,4,0.532,Rowdy,2mEk0VdrbDJ11DBC6Y92mh,Rowdy,2.0,1.0
1029,Operation: Mindcrime (Deluxe Edition),Queensrÿche,Rock,I Don't Believe In Love - 2003 Digital Remaster,0.0373,0.562,263560,0.991,1.1400000000000001e-05,7,0.425,-2.654,1,0.0745,118.00399999999999,4,0.266,,0U2TocFjqul3sis3sE5jZl,,,
1030,Up Your Alley,Joan Jett,Rock,I Hate Myself for Loving You,0.0846,0.611,246800,0.883,1.2e-06,9,0.192,-11.225,1,0.0539,117.928,4,0.604,Rowdy,2HXixVqzzm9rEUIMAWzshl,Rowdy,2.0,1.0
1031,Rocky IV,Survivor,Rock,Eye of the Tiger,0.132,0.8170000000000001,245640,0.599,0.00031099999999999997,0,0.0873,-9.249,0,0.0328,108.87299999999999,4,0.5479999999999999,Energizing,2KH16WveTQWT6KOG9Rg6e2,Energizing,2.0,0.0
1032,Lita,Lita Ford,Rock,Kiss Me Deadly,0.008190000000000001,0.46799999999999997,241800,0.743,7.879999999999999e-05,0,0.369,-10.845999999999998,1,0.0326,156.10299999999998,4,0.648,Empowering,0kFM6t9htbB53Dg8frGDGh,Empowering,0.0,1.0
1033,Skid Row,Skid Row,Rock,I Remember You,0.00642,0.345,313693,0.531,7.28e-06,0,0.14,-12.708,1,0.0305,176.30200000000002,4,0.49,Empowering,4ZpXHlV2vQVfPXUvbDSZ92,Empowering,0.0,1.0
1034,"Girls, Girls, Girls",Mötley Crüe,Rock,Wild Side,0.00742,0.596,281960,0.8959999999999999,0.00057,0,0.37200000000000005,-4.635,1,0.0382,115.09200000000001,4,0.456,Rowdy,41wWrTueWew7qUU0Ru87Mp,Rowdy,2.0,1.0
1035,Dirty Rotten Filthy Stinking Rich,Warrant,Rock,Heaven,0.115,0.462,236867,0.488,0.0,6,0.128,-11.142999999999999,1,0.0287,145.789,4,0.33,Empowering,2dEgwtRjYl6TJkIwjRwn6z,Empowering,0.0,1.0
1036,Open Up And Say...Ahh! - 20th Anniversary Edition,Poison,Rock,Fallen Angel - 2006 - Remaster,0.00864,0.509,238200,0.935,1.17e-06,6,0.255,-3.633,1,0.0493,148.062,4,0.501,Excited,27kMqdX3aoN3gBndVKlTfR,Excited,2.0,2.0
1037,Shout At The Devil,Mötley Crüe,Rock,Shout At The Devil,0.02,0.489,195853,0.953,0.00021,0,0.113,-4.615,1,0.0858,94.443,4,0.447,Rowdy,1hqrYSqvNc9x3BETX1cZhk,Rowdy,2.0,1.0
1038,Bon Jovi,Bon Jovi,Rock,Runaway,0.0048200000000000005,0.47600000000000003,230667,0.897,2.3800000000000003e-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667,Empowering,0X1sqQ652p1sceKM2nJlIJ,Empowering,0.0,1.0
1039,Night Songs,Cinderella,Rock,Shake Me,0.00465,0.5670000000000001,222467,0.889,0.000183,9,0.26899999999999996,-11.782,1,0.0304,132.726,4,0.555,Rowdy,1Qjpl8Kav6rrO92ZuG0OK8,Rowdy,2.0,1.0
1040,Mechanical Resonance,Tesla,Rock,Modern Day Cowboy,0.0158,0.44,318227,0.772,5.65e-06,9,0.08199999999999999,-8.838,1,0.0335,112.839,4,0.321,Rowdy,5ZIU2kT1wNjQNclQeVCz5O,Rowdy,2.0,1.0
1041,5150,Van Halen,Rock,Why Can't This Be Love,0.0606,0.531,227693,0.626,0.0,0,0.0767,-13.370999999999999,1,0.0452,88.236,4,0.746,Yearning,0TaT50ZZxT4ytZxuqkE3A9,Yearning,0.0,-1.0
1042,Mass Slaughter,Slaughter,Rock,Up All Night,0.000373,0.516,226027,0.733,0.00716,7,0.258,-11.341,0,0.0326,98.006,4,0.552,,1AsRjeavWPH8sCQbjMP8Xh,,,
1043,Damn Yankees,Damn Yankees,Rock,High Enough,0.0241,0.273,287320,0.537,0.0,2,0.0922,-9.612,1,0.0306,81.814,4,0.23199999999999998,Empowering,5t5rCnsgRBtcKqTB7SbD1Q,Empowering,0.0,1.0
1044,Dressed To Kill (Remastered Version),KISS,Rock,Rock And Roll All Nite,0.046,0.6559999999999999,168733,0.9309999999999999,0.0,1,0.0543,-5.827000000000001,1,0.0976,144.747,4,0.909,Stirring,7990Xs9HQx7FXVIDVPEwj9,Stirring,1.0,1.0
1045,British Steel,Judas Priest,Rock,Living After Midnight,0.0136,0.61,210133,0.8240000000000001,1.75e-06,4,0.0606,-6.046,1,0.0534,134.99200000000002,4,0.8190000000000001,Aggressive,0IXpUl1fn2QZcBavfuq0H4,Aggressive,2.0,-2.0
1046,The Last Command,W.A.S.P.,Rock,Wild Child,0.0608,0.37200000000000005,312400,0.857,9.01e-05,5,0.187,-7.816,0,0.0461,146.08,4,0.389,Rowdy,3iC3Numiy9P3AkF7iioKmx,Rowdy,2.0,1.0
1047,Flesh & Blood,Poison,Rock,Unskinny Bop - 2006 - Remaster,0.0657,0.574,228067,0.93,7.78e-06,1,0.10800000000000001,-2.949,1,0.0413,92.303,4,0.69,Rowdy,1Z6lKdYhwp8WYoBqGCKxlM,Rowdy,2.0,1.0
1048,Bark At The Moon (Bonus Track Version),Ozzy Osbourne,Rock,Bark at the Moon,0.00253,0.303,257120,0.961,6.2e-05,9,0.132,-5.332999999999999,0,0.243,146.591,4,0.305,Defiant,2E7W1X4maFFcjHrVrFA7Vs,Defiant,2.0,-1.0
1049,Greatest Hits (Re-Recorded / Remastered Versions),Dokken,Rock,In My Dreams (Re-Recorded / Remastered),4.91e-05,0.542,273013,0.8390000000000001,0.0,3,0.0471,-4.404,0,0.0487,121.02600000000001,4,0.611,Defiant,5IXUAYqwxmAFj69RWYFzbU,Defiant,2.0,-1.0
1050,Midnight Madness,Night Ranger,Rock,Sister Christian,0.159,0.447,302933,0.348,1.98e-06,5,0.0835,-16.199,1,0.039,177.356,4,0.22699999999999998,Empowering,57trQKFZdJxHia4sMJioWk,Empowering,0.0,1.0
1051,Time's Makin' Changes: The Best Of Tesla,Tesla,Rock,Love Song,0.36,0.341,321267,0.406,0.0519,2,0.126,-8.139,1,0.0359,79.995,4,0.33,Empowering,73jxc8OqPUqXEzsRnCgw8M,Empowering,0.0,1.0
1052,Van Halen (Remastered),Van Halen,Rock,Ain't Talkin' 'Bout Love - 2015 Remastered Version,0.021,0.518,227800,0.938,0.000305,8,0.28800000000000003,-5.9639999999999995,0,0.0416,139.138,4,0.71,Rowdy,6fybp4N6eW3bsFAvARxyVe,Rowdy,2.0,1.0
1053,Ace of Spades (Expanded Edition),Motörhead,Rock,Ace of Spades,0.00242,0.317,165907,0.981,0.00677,6,0.0852,-7.102,1,0.174,140.079,4,0.23399999999999999,Defiant,6EPRKhUOdiFSQwGBRBbvsZ,Defiant,2.0,-1.0
1054,Blow My Fuse,Kix,Rock,Don't Close Your Eyes,0.0795,0.537,257053,0.382,0.00115,7,0.114,-15.568,0,0.0245,148.061,4,0.33799999999999997,Brooding,7wrBlgNqYBAC5yFfO4fnYb,Brooding,1.0,-2.0
1055,Double Platinum (Remastered Version),KISS,Rock,Detroit Rock City,0.0442,0.546,215899,0.91,5.610000000000001e-05,5,0.263,-6.736000000000001,1,0.061,90.58,4,0.45799999999999996,Excited,7Dtukb9NLJs1i0lohMlIC5,Excited,2.0,2.0
1056,1984 (Remastered),Van Halen,Rock,Hot For Teacher - 2015 Remastered Version,0.0006519999999999999,0.551,282747,0.9470000000000001,0.00025699999999999996,2,0.0637,-4.671,1,0.152,127.65700000000001,4,0.466,Rowdy,6QDbGdbJ57Mtkflsg42WV5,Rowdy,2.0,1.0
1057,Firehouse,Firehouse,Rock,Don't Treat Me Bad,0.000303,0.616,235360,0.807,2.37e-05,8,0.193,-11.4,1,0.0348,111.054,4,0.637,Empowering,4lbhQdbiTpNP7GowZG8KsM,Empowering,0.0,1.0
